county,state,year,fat_amount
Wise,TX,2000,126
Mcdowell,NC,2000,126
Barry,MI,2000,126
Garfield,OK,2000,126
Scioto,OH,2000,126
Lafourche Parish,LA,2000,126
Wayne,PA,2000,126
Harrisonburg City,VA,2000,126
Limestone,AL,2000,126
Yuma,AZ,2000,126
Monroe,MS,2000,126
Laclede,MO,2000,126
Madison,MS,2000,126
Watauga,NC,2000,124
Imperial,CA,2000,124
Thomas,GA,2000,124
Randolph,IN,2000,124
Jefferson,TN,2000,124
Stephens,OK,2000,124
Pierce,WI,2000,124
Carbon,PA,2000,124
Cooke,TX,2000,124
Walker,AL,2000,124
Warren,TN,2000,124
Jefferson,WA,2000,124
Mccracken,KY,2000,124
Georgetown,SC,2000,122
Montgomery,IN,2000,122
Kay,OK,2000,122
Douglas,WI,2000,122
Union,AR,2000,122
Bedford,TN,2000,122
Jackson,GA,2000,122
Franklin,VA,2000,122
Freeborn,MN,2000,122
Wyoming,NY,2000,120
Lincoln,WI,2000,120
Bedford,PA,2000,120
Addison,VT,2000,120
Harrison,WV,2000,120
Charlottesville City,VA,2000,120
Crawford,AR,2000,120
Boone,IL,2000,118
Oconto,WI,2000,118
Phelps,MO,2000,118
Grant,WA,2000,118
Taney,MO,2000,118
Sandoval,NM,2000,118
Granville,NC,2000,118
Guernsey,OH,2000,118
Burleigh,ND,2000,118
Cerro Gordo,IA,2000,116
Sampson,NC,2000,116
Nelson,KY,2000,116
Cole,MO,2000,116
Clinton,IA,2000,116
Mercer,WV,2000,116
Lawrence,MO,2000,116
Alpena,MI,2000,116
Polk,OR,2000,116
Wexford,MI,2000,116
Brunswick,NC,2000,116
Hancock,IN,2000,116
Menominee,MI,2000,116
Harvey,KS,2000,116
Henry,TN,2000,116
Mille Lacs,MN,2000,116
Citrus,FL,2000,116
Stephens,GA,2000,116
Henry,OH,2000,116
Allegany,NY,2000,116
St. Francois,MO,2000,114
Camden,MO,2000,114
Lamar,TX,2000,114
Montgomery,VA,2000,114
Susquehanna,PA,2000,114
Oneida,WI,2000,114
Danville City,VA,2000,114
Coshocton,OH,2000,114
Caledonia,VT,2000,114
Glynn,GA,2000,114
Logan,OH,2000,114
Monongalia,WV,2000,114
Green Lake,WI,2000,114
Eagle,CO,2000,112
Lincoln,OR,2000,112
Douglas,NV,2000,112
Barrow,GA,2000,112
Houston,GA,2000,112
Cowley,KS,2000,112
Union,OH,2000,112
Mississippi,AR,2000,112
Tazewell,VA,2000,112
Belmont,OH,2000,112
Platte,MO,2000,112
Comanche,OK,2000,112
Hunt,TX,2000,110
Preble,OH,2000,110
Delaware,NY,2000,110
Elmore,AL,2000,110
Trempealeau,WI,2000,110
Mason,WA,2000,110
Itasca,MN,2000,110
Decatur,IN,2000,110
Lavaca,TX,2000,110
Wyandot,OH,2000,110
Hopkins,KY,2000,110
Richmond,NC,2000,110
Effingham,IL,2000,110
Pottawattamie,IA,2000,110
Ottawa,OH,2000,110
Buffalo,NE,2000,110
Fulton,IN,2000,110
Kerr,TX,2000,110
Juniata,PA,2000,110
Box Elder,UT,2000,108
Davie,NC,2000,108
Bastrop,TX,2000,108
Henry,IL,2000,108
Montrose,CO,2000,108
Grady,OK,2000,108
Newton,MO,2000,108
Raleigh,WV,2000,108
Navarro,TX,2000,108
Marion,IL,2000,108
Wells,IN,2000,108
Kenai Peninsula Borough,AK,2000,108
Waldo,ME,2000,108
Sullivan,NY,2000,108
Monroe,WI,2000,108
Fairbanks North Star Borough,AK,2000,108
St. Landry Parish,LA,2000,108
Amador,CA,2000,108
Smyth,VA,2000,108
Ross,OH,2000,108
Franklin,WA,2000,108
Darlington,SC,2000,108
Suffolk City,VA,2000,106
Champaign,OH,2000,106
Livingston,NY,2000,106
Independence,AR,2000,106
Franklin,AL,2000,106
Warrick,IN,2000,106
Barren,KY,2000,106
Pontotoc,OK,2000,106
Calumet,WI,2000,106
Tuscola,MI,2000,106
Lawrence,TN,2000,106
Ottawa,OK,2000,106
Clarion,PA,2000,106
Daviess,IN,2000,106
Orange,VT,2000,106
Warren,MS,2000,106
Webster,IA,2000,106
Dickson,TN,2000,106
Hood River,OR,2000,106
Colquitt,GA,2000,106
